clusterId,bucketIstDay,billCount,obdNumbers,distinctSkusTogether_allMembers,distinctSkusSeparate_allMembers,savingPct_allMembers,cappedMemberCount,distinctSkusTogether_capped4,distinctSkusSeparate_capped4,savingPct_capped4,activeLineCount_allMembers,routes,windows,targetDates
W2-119,2026-06-18,5,9107711751;9107745332;9107704478;9107712731;9107697182,3,8,62.5,4,3,7,57.1,8,Adajan;Ghod Dod;Udhana;Vapi,(none),(none)
W2-120,2026-08-01,5,9108580952;9108655113;9108651018;9108664003;9108550584,12,16,25.0,4,12,15,20.0,16,Adajan;Varachha,(none);1;2,(none);2026-08-01;2026-08-03
W2-121,2026-08-06,4,9108693055;9108605196;9108723762;9108732880,7,13,46.2,4,7,13,46.2,15,Adajan;Vapi,1;4,2026-08-06;2026-08-07
W2-122,2026-06-24,4,9107838843;9107807870;9106292285;9107890604,3,6,50.0,4,3,6,50.0,7,Adajan;Kamrej;Udhana;Varachha,(none);1,(none);2026-06-28
W2-123,2026-07-09,4,9108160356;9108160359;9108193811;9108152560,14,24,41.7,4,14,24,41.7,24,Adajan;Ghod Dod;Vapi,1;2;4,2026-07-09;2026-07-10
W2-124,2026-07-09,4,9108181449;9108193806;9108116042;9108116041,3,7,57.1,4,3,7,57.1,8,Adajan;Bharuch;Ghod Dod;Udhana,2;3;4,2026-07-09;2026-07-12
W2-125,2026-08-08,4,9108750844;9108647683;9108759541;9108687090,17,21,19.0,4,17,21,19.0,22,Bharuch;Ghod Dod;Vapi;Varachha,1;3;4,2026-08-08;2026-08-10
W2-126,2026-08-08,4,9108762764;9108730180;9108749370;9108746362,2,5,60.0,4,2,5,60.0,5,Adajan;Varachha,(none);3,(none);2026-08-08
W2-127,2026-08-10,4,9108652453;9108652468;9108804214;9108794113,4,7,42.9,4,4,7,42.9,7,Adajan;Ghod Dod;Navsari,1;2;4,2026-08-10
W2-128,2026-07-20,4,9108347186;9108379038;9108379037;9108335681,6,9,33.3,4,6,9,33.3,9,Adajan;Kamrej,(none);1;3;4,(none);2026-07-20;2026-07-21
W2-129,2026-07-20,4,9108384909;9108263292;9108361150;9108360532,5,9,44.4,4,5,9,44.4,9,Adajan;Ghod Dod,(none);1,(none);2026-07-20;2026-07-21
W2-130,2026-07-20,4,9108388715;9108319764;9108330249;9108397310,9,12,25.0,4,9,12,25.0,12,Adajan;Ghod Dod,1;2;3,2026-07-20
W2-131,2026-07-30,4,9108570441;9108525690;9108519292;9108601236,4,7,42.9,4,4,7,42.9,7,Adajan;Varachha,(none),(none)
W2-132,2026-07-21,4,9108329571;9108329570;9108329569;9108329568,1,4,75.0,4,1,4,75.0,4,Varachha,(none),(none)
W2-133,2026-07-17,4,9108193294;9108193293;9108193292;9108193291,1,4,75.0,4,1,4,75.0,4,Adajan;Kamrej;Varachha,(none),(none)
W2-134,2026-08-14,4,9108905104;9108904563;9108904562;9108877538,1,4,75.0,4,1,4,75.0,4,Adajan;Bharuch;Ghod Dod,(none);4,(none);2026-08-14
W2-135,2026-08-14,4,9108886266;9108916304;9108780679;9108883356,5,9,44.4,4,5,9,44.4,9,Adajan;Ghod Dod,2;3,2026-08-14
W2-136,2026-07-01,4,9107760786;9107768686;9107999022;9107808671,5,8,37.5,4,5,8,37.5,8,Bharuch;Ghod Dod;Varachha,(none),(none)
W2-137,2026-07-01,4,9107794294;9107996750;9107916471;9108038100,2,5,60.0,4,2,5,60.0,6,Bardoli;Ghod Dod;Navsari,(none);4,(none);2026-07-03
W2-138,2026-06-22,4,9107775149;9107273650;9107621328;9107836303,1,4,75.0,4,1,4,75.0,4,Adajan;Bardoli,(none),(none)
W2-139,2026-06-22,4,9107729232;9106626571;9107799353;9107699090,2,5,60.0,4,2,5,60.0,5,Adajan;Udhana;Varachha,(none),(none)
W2-140,2026-07-02,4,9108028822;9108005662;9107887738;9108047812,11,15,26.7,4,11,15,26.7,15,Adajan;Ghod Dod,(none);4,(none);2026-07-03
W2-141,2026-07-02,4,9108000699;9108015776;9108015777;9108015773,1,4,75.0,4,1,4,75.0,4,No Route,4,2026-07-03
W2-142,2026-07-02,4,9108028821;9108028820;9108028818;9108028817,5,11,54.5,4,5,11,54.5,11,Adajan;Varachha,(none),(none)
W2-143,2026-08-04,4,9108646899;9108646449;9108646450;9108516370,10,13,23.1,4,10,13,23.1,13,Adajan;Navsari,1;2;3;4,2026-08-04;2026-08-05
W2-144,2026-08-04,4,9108644676;9108646456;9108644684;9108696508,6,10,40.0,4,6,10,40.0,10,Adajan;Navsari;Varachha,1;3;4,2026-08-04;2026-08-05
W2-145,2026-06-27,4,9107907892;9107952120;9107917074;9107945108,2,5,60.0,4,2,5,60.0,5,Bharuch;Ghod Dod;Udhana,1;4,2026-06-27;2026-07-03
W2-146,2026-07-18,4,9108364725;9108318364;9108364309;9108310548,12,15,20.0,4,12,15,20.0,15,Adajan;Bharuch;Kamrej;Udhana,1;2;4,2026-07-18
W2-147,2026-07-13,4,9108153562;9108259703;9108268017;9108134493,3,6,50.0,4,3,6,50.0,7,Adajan;Ghod Dod;Varachha,(none);1;2,(none);2026-07-13;2026-07-14
W2-148,2026-07-14,4,9108219842;9108219843;9108219844;9108219841,1,4,75.0,4,1,4,75.0,4,Ghod Dod;Kamrej;Navsari,(none),(none)
