category,product,baseColour,sku_count,example_description
SADOLIN,PU PRIME GLOSS,90 BASE,3,DN SADOLIN PU PRIME 90 BASE GLOSS 1L
SADOLIN,PU PRIME GLOSS,93 BASE,3,DN SADOLIN PU PRIME 93 BASE GLOSS 1L
SADOLIN,PU PRIME GLOSS,BRILLIANT WHITE,2,DN SADOLIN PU PRIME WHITE GLOSS 1L
SADOLIN,PU PRIME GLOSS CLEAR,,3,DN SADOLIN PU PRIME CLEAR GLOSS 1L
SADOLIN,PU PRIME MATT,90 BASE,3,DN SADOLIN PU PRIME 90 BASE MATT 1L
SADOLIN,PU PRIME MATT,93 BASE,3,DN SADOLIN PU PRIME 93 BASE MATT 1L
SADOLIN,PU PRIME MATT,BRILLIANT WHITE,2,DN SADOLIN PU PRIME WHITE MATT 1L
SADOLIN,PU PRIME MATT CLEAR,,3,DN SADOLIN PU PRIME CLEAR MATT 1L
SADOLIN,PU PRIME THINNER,,3,DN SADOLIN PU PRIME THINNER 1L
SADOLIN,PU PRIME WHITE SEALER,,3,DN SADOLIN PU PRIME WHITE SEALER 1L
SADOLIN,SYNTHETIC CLEAR VARNISH,,4,DN SADOLIN SYNTHETIC CLEAR VARNISH 1L
SADOLIN,WOOD FILLER,BRILLIANT WHITE,2,DN SADOLIN WOOD FILLER WHITE 1KG
SADOLIN,WOOD FILLER,TEAK,1,DN SADOLIN WOOD FILLER TEAK 1KG
SADOLIN,WOOD FILLER,WALNUT,2,DN SADOLIN WOOD FILLER WALNUT 1KG
SADOLIN,WOOD STAIN,CHARCOAL,1,DN SADOLIN WOOD STAIN CHARCOAL 100ML
SADOLIN,WOOD STAIN,ROSEWOOD,1,DN SADOLIN WOOD STAIN ROSEWOOD 1L
SADOLIN,WOOD STAIN,TEAK,1,DN SADOLIN WOOD STAIN TEAK 1L
